"","logFC","logCPM","PValue","FDR"
"TRINITY_DN7_c0_g3_i6",1.95052971063734,15.4489113910847,8.17518105674642e-63,6.54014484539714e-61
"TRINITY_DN7_c0_g3_i12",2.22555055110272,15.678004782872,1.23661304616328e-46,4.94645218465313e-45
"TRINITY_DN7_c0_g3_i4",2.28478766769835,14.823620503595,3.4283651016418e-30,9.14230693771147e-29
"TRINITY_DN10_c0_g1_i2",-2.33678488505878,13.7986105055148,7.12428821636176e-30,1.42485764327235e-28
"TRINITY_DN10_c0_g1_i5",-2.17012647986507,14.7875776483238,4.93715523376069e-19,7.89944837401711e-18
"TRINITY_DN6_c0_g1_i1",-0.753087241598394,15.5397181562744,4.86768470742786e-12,6.49024627657048e-11
"TRINITY_DN2_c0_g2_i26",-1.58436583215726,13.4527241719636,2.47150625188991e-09,2.82457857358847e-08
"TRINITY_DN7_c0_g3_i7",1.8125065550375,12.9948641155476,2.19945330991395e-07,2.19945330991395e-06
"TRINITY_DN2_c0_g2_i3",-1.08031077033723,13.5241066376098,1.33697359583634e-06,1.18842097407675e-05
"TRINITY_DN7_c0_g3_i9",1.44232170294101,13.426896639528,0.000193552473646373,0.00154841978917098
"TRINITY_DN10_c0_g1_i7",-2.68691044733557,11.9213212420031,0.000354810551503686,0.00258044037457226
"TRINITY_DN2_c0_g2_i1",-2.91834545668073,11.3666571980613,0.000550117955951398,0.00366745303967599
"TRINITY_DN10_c0_g1_i3",-2.66081103084667,11.6062121974931,0.00161559070873139,0.00994209666911623
"TRINITY_DN7_c0_g3_i5",2.34008709385143,12.8696398727255,0.00196083662709358,0.011204780726249
"TRINITY_DN7_c0_g2_i1",-0.314586419372881,16.2476745873507,0.00362137144445363,0.0185885619464413
"TRINITY_DN7_c0_g3_i11",1.06102271763175,12.7134917304807,0.00371771238928825,0.0185885619464413
"TRINITY_DN10_c0_g1_i1",1.19850668646075,12.885984977938,0.0054608112230262,0.0256354622888427
"TRINITY_DN10_c0_g1_i4",-3.34024918889043,10.7403809199207,0.00576797901498961,0.0256354622888427
"TRINITY_DN13_c0_g1_i1",4.67252511317643,5.30696832095151,0.0150915751890661,0.0635434744802782
"TRINITY_DN2_c0_g2_i11",-7.86242651782866,7.53661800853134,0.0163641484979254,0.0654565939917017
"TRINITY_DN7_c0_g3_i13",1.596500572315,12.2851709357829,0.0200601579508778,0.0764196493366775
"TRINITY_DN8_c0_g1_i2",-0.224700272907449,18.3309205425263,0.0368053907127301,0.133837784409927
"TRINITY_DN2_c0_g2_i20",-2.50501323027658,7.67369183557428,0.0466083952631449,0.162116157437026
"TRINITY_DN2_c0_g2_i27",5.32284071192083,5.64928318364503,0.0525378673592721,0.175126224530907
"TRINITY_DN2_c0_g2_i23",6.4782668869859,6.41004977715461,0.0625289593962718,0.20009267006807
"TRINITY_DN10_c0_g1_i6",-0.538322047032571,13.6265391027916,0.0760750361748329,0.234077034384101
"TRINITY_DN7_c0_g3_i10",2.33707772041941,7.82962653941451,0.0804642588832071,0.238412618913206
"TRINITY_DN4_c3_g1_i1",-0.177454257706848,15.6916485142968,0.101502431935194,0.290006948386269
"TRINITY_DN0_c0_g1_i1",-2.25369635877602,5.91967122259731,0.113048873634833,0.311858961751265
"TRINITY_DN8_c0_g1_i1",0.423241450342113,13.4090423129045,0.124450172157407,0.331867125753085
"TRINITY_DN2_c0_g2_i9",-1.38507027509161,10.9426309893666,0.180048998533053,0.464642576859491
"TRINITY_DN2_c0_g2_i10",3.35400421830686,7.79221467675141,0.190930956606957,0.477327391517393
"TRINITY_DN9_c0_g2_i1",-0.133382644508717,16.021161636752,0.217579756926242,0.52746607739695
"TRINITY_DN2_c0_g2_i19",-3.15629919126093,5.9182642915441,0.244986856526471,0.576439662415225
"TRINITY_DN2_c0_g2_i12",-1.52022803921987,10.3961681177426,0.284349641372379,0.631944005763749
"TRINITY_DN5_c0_g1_i3",0.137964856523765,14.922885837422,0.284374802593687,0.631944005763749
"TRINITY_DN2_c0_g2_i22",2.2471512834556,7.83264408031741,0.307806163034796,0.665526838994153
"TRINITY_DN3_c0_g4_i1",2.53083410988528,4.68375802402392,0.346218096207371,0.728880202541834
"TRINITY_DN5_c0_g1_i1",-0.348926147386912,12.3623544822953,0.368386979775931,0.755665599540372
"TRINITY_DN7_c1_g1_i1",-2.4853710172992,4.68683338185253,0.396488982766398,0.792977965532796
"TRINITY_DN2_c0_g2_i2",-0.473029654995466,11.6029637187378,0.420783734637424,0.821041433438875
"TRINITY_DN2_c0_g2_i7",-1.5196029799102,8.13019102955369,0.434312951448978,0.827262764664719
"TRINITY_DN2_c0_g2_i5",-1.11715509418331,10.4537937508111,0.448929510719967,0.835217694362729
"TRINITY_DN2_c0_g2_i14",-1.10492907759323,8.52155925131326,0.463205857542321,0.842192468258765
"TRINITY_DN2_c0_g2_i18",-0.912169296010123,9.52873461239712,0.51937158732497,0.923327266355501
"TRINITY_DN9_c0_g2_i2",-0.214495121323024,12.698481096926,0.54671781337028,0.94238713834788
"TRINITY_DN2_c0_g2_i8",0.615499513656867,11.0025864008992,0.553652443779379,0.94238713834788
"TRINITY_DN3_c0_g5_i1",-0.102026881648125,14.9078731254615,0.5787328562053,0.960169209216396
"TRINITY_DN3_c0_g1_i1",1.37875785972031,4.77560765175004,0.590724782111162,0.960169209216396
"TRINITY_DN4_c2_g1_i1",-0.923282297002715,6.15017564149151,0.604167990119476,0.960169209216396
"TRINITY_DN4_c3_g1_i2",0.222815525988912,12.1908307685382,0.612107870875452,0.960169209216396
"TRINITY_DN2_c0_g2_i21",1.07129692806082,8.75577449131871,0.645883603762259,0.991531840273175
"TRINITY_DN3_c0_g6_i1",1.76438851158443,4.5916197421078,0.656889844180979,0.991531840273175
"TRINITY_DN2_c0_g2_i17",0.986781879621717,5.75823804459345,0.7448423122003,1
"TRINITY_DN4_c2_g1_i2",-0.287120171362017,9.61637820654225,0.750962028151911,1
"TRINITY_DN2_c0_g2_i25",-0.673625297161534,6.01103772365102,0.776825286559165,1
"TRINITY_DN3_c0_g5_i2",-0.172025048901391,11.0224461093724,0.784674710875292,1
"TRINITY_DN2_c0_g2_i13",-0.485751038635832,8.45516153475771,0.784862972755402,1
"TRINITY_DN4_c2_g2_i1",-0.152628229156626,10.8459082253214,0.828402982316126,1
"TRINITY_DN2_c0_g2_i4",-0.190510970522387,10.4701116786719,0.854019988498393,1
"TRINITY_DN5_c0_g1_i2",0.193072947130002,6.62978610157681,0.88079542188402,1
"TRINITY_DN2_c0_g2_i16",0.189215495928294,8.17407668525974,0.898722654022388,1
"TRINITY_DN2_c0_g2_i15",0.119255806863823,10.7809800187254,0.914374268596548,1
"TRINITY_DN4_c3_g1_i3",0.0104012102712845,15.7190247971458,0.92434427613227,1
"TRINITY_DN11_c0_g1_i1",-1.34095332445697,4.55832706782698,0.999999999999999,1
"TRINITY_DN7_c0_g4_i1",-0.653760439699753,4.68594105157929,0.999999999999999,1
"TRINITY_DN2_c0_g2_i6",1.37684922030244,4.55743175422263,0.999999999999999,1
"TRINITY_DN3_c0_g2_i1",1.38052529300505,4.55743175422263,1,1
"TRINITY_DN2_c0_g1_i1",1.37343777952325,4.55737560707509,1,1
"TRINITY_DN7_c0_g1_i1",0,4.48968455292153,1,1
"TRINITY_DN7_c0_g3_i1",0,4.48968455292153,1,1
"TRINITY_DN7_c0_g3_i2",0,4.48968455292153,1,1
"TRINITY_DN7_c0_g3_i3",0,4.48968455292153,1,1
"TRINITY_DN7_c0_g3_i8",0,4.48968455292153,1,1
"TRINITY_DN7_c0_g5_i1",0,4.48968455292153,1,1
"TRINITY_DN8_c0_g2_i1",0,4.48968455292153,1,1
"TRINITY_DN3_c0_g3_i1",0,4.48968455292153,1,1
"TRINITY_DN15_c0_g1_i1",0,4.48968455292153,1,1
"TRINITY_DN2_c0_g2_i24",0,4.48968455292153,1,1
"TRINITY_DN9_c0_g1_i1",0,4.48968455292153,1,1
